Text,toxic
bhrwon ko line me lag k babay deenay ka samosa gand me charana ha,1
ajeeb zalatal laga rakhi ha,1
saray madarchood saraikon ne gand macha rakhi ha,1
Babu chutiye k pathay,1
bharwat na kro fozia se raat bhar gandi baaten krne wale,1
begarat khabees hijre,1
Abe Corona nai howa tujhe bharwe abhi bhi piche laga wa hai..,1
tere maal pe daka daal rha ha bharwa,1
ye mask dunga tujhe bharwe,1
corona pehla hua ha lekin bharwon ko shadi me zaroor jana ha,1
sab se ziada teezi se pakistan me pehla ha corona...bharway kesay peechay reh saktaya hain barbad hone me,1
shadion me jana ha bharwon ko or wahan 6 ko or lagana ha,1
gand phat jaye lekin shadi me jana ha,1
kuch bhi ho jaye bhen ki kuss london se akay party zaroor karni ha bharwoon ko,1
dallon khud to maro gay humain bhi marwao gay,1
andar bethao ghar me bharwoon,1
kuss k choday ghar me nahi bethain gay,1
dallay ghar main beth ja tu bhi,1
Khoti ka bacha itlay ka graph h bc jahal inSan,1
andar beth dallay,1
Ya lanti bnda hain asy program bnata ha,1
chodo ghar pay gand marao na kitni bar bola hai,1
aik se bhar k aik namoona bharay hain,0
Pakistan me saray namoonay bharay hain,0
namoonay nai ye gandu hain bhrway,1
Jahil awam panjab ki,1
gandy punjabi,1
ajeeb cheez hain ye punjabi,1
in Madarchodo ne Ghareebabad ka token peeya hai,1
nepal tak ye bhenchood phel chuka ha,1
Tm ne jawan bachi ko bheja Q..beghert,1
Nashaayyyyy huay hain aunty ko,1
Aunty jahaliyat k arooj pay hain.,1
Is ke bachay Phir is ko lanat dain gy,1
4 din ata hai Larkian nachwata hai ghar chala jata hai begarat,1
lanat Hai nikah ko Ghlt kehny walon per,1
Jaheel OURAT bake mein bol rehi hai,1
Khotay kha kha k damagh b khota ho gya he in logon ka.,0
Gand phatii k bhahrway bharway.,1
Police ka danda para na tou suit alag phatay ga gand alag phatay gee,1
phelay gand phatay gi suite bad me phatay ga,1
Dinosaurs k chodyy Ghar Beth bhaar Corona mardega apki,1
Kisi ko dikh gya na seedhi goli maray ga gand py,1
Thora agay jao kuttay peechay na lagay to bolna,1
Randi k bache lagty hu,1
lund lora karne wlay sub log ajayen,1
gand na dhone walay ab hath dhone k bhashan de rahay hain,1
han to madarchood jo bol rhay hain sun lo,1
Ye Ghar mn Beth k pagal hogaya,0
corona k chodo beth jao bharwao ghar me,1
Gararray ke bachodon yeh acha tha,1
Gand mari hindustan ki,1
bachodiyon ko kubz howa wa hai,1
lund ka doosra naam waqar zaka,1
Kuss k choday aisay nahi houn ge 1m subscribers,1
Achy kam krne lag gya tha phr begairati start,1
Bhai Hum taray se baare harami hain,1
tatto pe maro hatori bad me bolo sorry,1
Zabardast bahi Jo gar sy bahir nikly on ky tato py hatora marna chiye,1
Yeh Banda satak gya hai,1
"Lund k topay ki shakal waly nikal, pehli fursat main nikal",1
Bhen k kuss tunay gand mardi audition walon ki,1
Bhai kuch log YouTube pe bhi apke liye bakwas kr rahay hain.....,1
us ki gaand phaar dein gaiee,1
Jo nikly ghr sy usky Tattoo py maroo hathori phr bol Sorry,1
Ek nambar kanjar ho ap bi,1
Is time tum buht he bary bagyrt or bakcood samosy lag rahy ho,1
Mat kro bhot bury lag rahy ho,0
Twitter pe jake isi ma bhen karu ga,0
Tu sale Pakistan ka naam badnam kr ke chhodega,0
Jab woh Gand me cunchay maray gay tab Ghar me baithay gay,1
O saly kanjar,1
Baba dinay ka samosa Gand me charna zaruri he,1
bhosri panay k side effect,1
is kuty ko unsbcrib kary buht he gthya hn insan,1
Apny jaisa chutiya koi paida nhe honay diya tu ne waqar chaka,1
Teri zindagi pe lanat ho beghairat,1
khelo bharwo cricket khelo corona me,1
ye corona gand me yorker maray ga,1
yehi ballay in dallo k anadr karo,1
inkay lund pe corona hoga,1
ye logo ko ye bakwas dikha raha hy,1
WAQAR BHT HARAMI HA TO BC,1
ye khud harami pan machaya hua ha,1
"Bilkul he jahil hain,",1
dabba me dabba me amrud ... is corona ki maa ki choot,1
ye kia baat hui yar jahil,1
Lnt h tyry p ur tyry show p,1
bgrt insan tn jo bkwas Mara h,1
tuj p ur tyry show p lant,1
ajeeb lund kisam k log zinda hain is dunya main kasam se,1
Randi k bache lagty hu,1
playboy q bnna hai. time nikal kr mr hi jao.,0
Nah pagal loog apnay cities ka hi nhi pta.,1
Aqal k andhey tomhey minaar e pakistan dikhai nahi deta...lahore hey bc,0
ye gand ka andha ha,1
Dakho ya pagal logon ko ya tu Gilgit hai :D,1
Aby jahail logo ye Islamabad ha,1
Awam ko pagal banate hn yar Dr SB,0
Is jese chutiye ko nae dy ge visa #un,1
Amir bht waqar hdi lanti bhao lanti bhai,1
Iss sey pehlay kay Karachi waalay apni bkwaas ShuRu karr dyn,1
Aziz bachy khrb krta hai kyu,0
Ye kehte hue tjhe sharam nai ati,0
Afghan k dil patar k hai stupid afghani,0
ye afghanio ki gandi harkatey haiin,0
chor daikati kartay phirtay hain bhrawy karachi me,1
jis ko pakro wo afghani nikalta ha kanjar,1
ye saray neeli peeli shalwar kameez walay karahci ko kharab kar rahay hain,0
bhoat mazay karliye in afghani ne karachi me ab nikalo in gadhon ko,1
Bhai Konsa Sasta Nasha Shuru Kr Diya hai,0
ye sastay nashay k side effect hain gadhay,1
sastay nashay chor day bharway,1
or koi kaam nai ha tum kanjaro ko,1
Laanat wo b beshumar,1
Teri ghaliyaan ki waja sy tujhy blocked krny ko dil krta hai,0
bhosri waly bs kr de jelebi k chody ab kia barwo ko itni galian dogy,1
tun pgl te nhi kute insan,1
shuru main bus kanjar sun,1
nae nae kanjar kaha sirf,1
azeem bharway andar chala ja corona ka attack hojaye ga ...wesay he tu kisi ko nai pasand,1
bharwon andar beth jao kuch din,1
apni apni gandain chipka lo zara ghar pe kuch din,1
gand k andho dikh nai raha kia haalaat hain,1
bikul he gand se pagal hain,1
bawli gand awam ha ye,1
gandi awam ha ye,0
salay kmeenay,1
Waqar bhai bare bhosdi wale nikle ap,1
Ye pagla gaya h ghr bethay bethay,0
Aba bharwaa kaam kar apnaa,1
Iska demag khrb hu gya hua hai,0
tu ajeeb bakwas krha ha,1
yaaar ye kia harami booti ha,1
behnchood trimer laon phrr se,1
trimmer lao is behn k loray k baal katyengay,1
Chor ganda bnda h ye,0
shareef k chody nikal pehli fursat ma nikal.,1
durr khalla means laanat.,1
maine Tujhe Bura Bola,0
Tere se wada tharki kahi dekha nai kia karun,1
Tharkio ka sardaar,1
Begherat laanti,1
jaan Nikal di yaar kia batameezi ha ye,0
Zehr lg rahe ho.,0
Sae khel gya bharwa,1
Bhai ki ijaat doba di bhancho,1
Chal be chal kon hai ye..,0
Or bagart ban jao Teri tarhaa...,1
bhai yeh bsdk dono ganje laanti hain.,1
La prwah awam hai humari,0
ghleez insan,1
hussain haqani bara bharwa ha,1
mulk k ghaddar hain ye log,1
inko kuttay ki mouth maran chahiye,1
apne he mulk ki jaray kaat rahay hain kanjar,1
zaleel k bachay,1
gandi nali k keeray hain ye,1
mulk k liye nasoor hain ye begarat,1
zlalat ki inteha ha,1
intehai koi begarat shaks ha,1
ganjay hotay he harami hain,1
2 ganjay shareef khandan k hain bharway,1
ye ganjay ganday anday hain,0
mujhay kalay log pasand nai,0
racist k bachay nafrat pehla rahay ha,0
Wah chutiye ab tu humri awam ko bekar krna chahta ha,1
awaam ko chutya bna rhy ho waisy e ban rhi h wo,1
jahalat ki misaal qaim krdi Hai apne,1
Chup kr bhsdk,1
aik hi dafa time nikal k mar ja loru shayad mulki halat behtar hojien,1
Abay gahrak ho,0
jahil lamby balo waly khusry,1
Ye dheeth awam nahi sudhrein ge!,0
abi tak itni jahil nai hoi hu k genderism k pangu ko support karu,1
Tu khisak gaya hay ghar bathey bathey fazool videos banata rahta hay,0
Kutta hy waqar zaka,1
Tu be bara haramzada hy.,1
Abay lund kisi aik bat par tu ruk,1
Is kuty sa koi ponchy saly,1
Aj tu khud bhook Raha hai halat he ni kuty ki,1
begairat larkiyo ki waja say kahi sari larkiyo ka image karab na ho jay.,1
Waqar zaka kisi kanjri k bachay in halat mein to baaz aa salay harami,1
Dunya Ka ghleez tareen insan waqr zaka,1
Waqar jaani ghar mai beth beth ke pagal hogye hain,1
Keo fzol bat krte h,0
i fzol galia de re hu,0
Yhh intahi koi gandu chutiyaa hy pta ni yh samjta kya hy jamaadar kahi ka.,1
Bharwe tere tatto pe maaro hathori phr bolo acha sorry,1
apko koi sharam ati Hain ya nhi,0
ya bakwas videos banaty hoo koi sharam krarlo,0
apni izzat pe ati hai tw gand jalti hai,1
Abay tou tu larkiyon ko mesgs kar kyun raha tha chutiye,1
Bhai tu b to chutiya h na apni fame ki wja sy lakion sy batin krta h,1
Apky taton py mar k hathori phir bolen gi sory,1
bc chution ki trh kam krty ho,1
Ab bhosri wale kesa laga??,1
Agar yhi kaam koi doosra banda karta to teri gaand me mirchein lagjati.,1
Tu usi aurat ka bhai nikal parta bann kar bhosri k.,1
sharm kar begartw insaan,1
janab lanate ho app par,1
Bhuut harami hy yarr.,1
khulam khula randi bazi karta hy,1
tangein chat se lgaye ga yh gandu,1
trimmer laao Baal kaatein iss bhenchod ke,1
Kisi gando ki olad ha ye randi ka bacha,1
likes kay liye apni gand bhi marwa lega,1
rakh kr maro waqr bhai in madrchod larkyon ke,1
Sahi chutiya bnany ki machine h tu b,1
Oye chuteaaaa farigh insan.....,1
Abay ja bey chootiye.,1
waqar bhai in chotia land k bawasir ministers ko yeah baat koi nhi samjha sakta,1
yeah bosrikay apni olad nhi samhal saktay,1
hamari is chotia awam ny in ko mpa mna bana dia hy,1
gar pay beth ky apny sath dorso ka dimage khrb na kru..,0
Agr wo galat hn to ap b galat ho,0
Ajeeb zalalat hai yar koi,1
thook pikh Kar kuttay par,1
Is qandu awam ko assi Zuban he samaj aati hai,1
Har video main apna churan bechty ho bhosdika,1
Iss pagal insaan ka account ban kyu nhi huta itni galia nikalta hai,1
Jahil qooom ki jahil harkatay,1
Jb Banda Ho Hi bagherat To Bane Q..,1
"Sath, tu bhe chutiyaa",1
Aby pagly to tum ho...,0
pagla gai ho kya,0
Bagarat chore nawazia. .Allah ki mar ho,1
DANDLI KI PADAWAR,0
chory ki aolado ab ye batin apny pas rkho aur jail jany ki teyari kro,1
Jo jo b shamil on sb py lannnnatttt beshumar,1
phr b jo mrzi ho ye jahil awam noon leag ye pp ko he jitwain gy,1
inushay rahman kanjry,1
ye wese pagal hoty roads dekhk,0
ZEHEREELI AUNTY HAIN KOI.,0
Kuch ni jahil awam larkian nachany se agay ni ja skti,0
Imran khan chor hai,0
agay se apne jahilo wala hi reply kar dya,0
"Jahil awam ko jahil leader ki hi zroorat hai,",0
Jahil aurat,0
insay bara koi chor hai he nahe,0
Aunty hogai hain pagal wagal,0
Buht zyada badtameez admi,0
Jahalat ki intiha ho tum,0
Lul reporter bolna ata ni,1
abey chal gaindi,0
haw PTI k loty idhr to a,0
Aunty pagal hogai hain abhi lahore ka haal pata hai???,1
Bakwass kar rahi hain,1
aunty ka screw dhila chal raha ha,0
Yeh bik gai hai aunty,0
Pata wata kuch nahi bss imran khan ko vote do haan,0
30 saal sey jahil lougo ki hukumat chal rahi hai.,1
Achay khaasay loug jahilo ko vote dene lag gaye toh hogaya kaam phir.,0
Agar bilawal acha hota toh lyari mei rehne wali jahil awaam bhi uski gaari pe pathar na maarti.,1
Mulk ko lootne ke elawa kuch nahe kia dono parties ne,0
Parha likha hai na nawaz ki tarhan jahil nahe hai.,1
Hamari aadhi se zayada awaam toh andhi hai,1
Bachon wali batein mat karo jahil,1
Aba chup kar apna gulistan e johar pe reee,0
Iss aunty ko bomb laga k urra do,0
lanat hu is par.,1
Panjabi jahilo ki wjHa sa,1
Matlab jahiliyat ki had hai Bro,1
Inhi jahilon ki Waja say Nawaz shreef select hota hai,1
Office main kaam toh karle bhootnike,1
aur tum atrangi chutiye ho,1
Had hoti h jahil awaam,1
Yaa bhai loota hai.....,0
jahalat loha bachny wala b mulk ni chala skta,1
koi shrm hoti hai koi haya hoti hai,0
PATWARIUN KA KOI HAAL NAHI,0
JAHIL QOUM SAHEE HORAHA HA HAMARY SATH JO HORAHA HA.,1
o jahil log literacy rate dehko apnay mulk ka,1
abyy bhai rhny du tum or niklo yahan se,0
Aunty ki date of birth pay lannat,1
Aunty pagal ho gie,0
Lekin peechay k bachoday tamashai dekhe,1
awam ko pagal b to banana tha akhir,0
Sarkain mor kar andar lay lo jahil,0
Hahaha aunty ne level krdia peche wale log bht hrami thy,1
HARAMI HOTY JARHE HO,1
Yaha jahalat ka raj hai,0
baat man lo hamari ...nahi to gand mar dengay tumhari,1
ye dekho kanjar,1
han or dikha do apni gand khol khol k,1
dikha di apni auqat zaleel,1
han bas yehi auqat ha tumhari,0
Jahil qaum ko sirf dandy ki juban samaj ati hai,1
aap society khrab kr rhy,0
Waqar bhohat ganday horahay hai tou,0
is qoum ko issy bhi koi farq nh prta jb tk koi mrta na dke apny samny jahil awaam,1
Tou bhosriwalo govt ko bolo ek ek gareebo k grh rashan bhi phnchado,1
ye ha bharwa dalla corona,1
kidhar gaya ye dalla,1
ye chowkidar is randi k bachay k sath mil jata ha,1
personality mazeed lund hogai ha,1
tmne apni bkwas chzn share krdi,1
tm crupto currency k gannd me guseee ve ho,1
Behan chod tairai baap nai banaya tha Pakistan chotiyai,1
In awam ki gand meh danda jb tak nahi jayega,1
tb tk bhosrikay apni ma chudwane roads per ghumty rahengay,1
Mind bhi na karna meri baaton ka gand k muu waly,1
Kuss Ka Dhakkan - tou likhna bhool he gaya sala maderchod,1
Khud toh Maren gen hmari gaand phatwa den gen,1
or corona Aakay GAAND mai ghuss jayga,1
Aesi laantion wali harkaten hongi toh Corona virus nahi ayega toh aur kya ayega.,1
BC kon c modeling kerwa raha hy harami.,1
le ao is madarchood ko haweli pe,1
abay kuttay k bachay sudhar ja,1
barway konsa keera tjay tang krta hay 24 ghantay,1
fb pe apni corona virus jessi shakal lay k bakwas krnay.,1
.dafa ho ghr beth k aram kar,0
liken tm jasay jahilo ko kia fark parta hai,1
tm jasy log bs kutte ki tarhan bokte ho,1
lanat ho tm logo per,1
gandu teri smjh m ni aynge ye,1
es bharwa ko minning machine lagani hay,1
apni gand me laga le machine chutiye,1
ye kia bakwas laga rakhi ha machine ki,1
ye machine k baray me itna q bhonk raha ha,1
Bhai ap Bitcoin ki Gand main kyun ghusy huay ho,1
nai to kia teri gand me ghussay,1
ye bitcoin bitcoin ki kia maa chudai laga rakhi ha,1
ye itna pagal Q ho raha ha jahil,1
kuch to hath me ha is bharway k,1
lund he hoga or kia hoga,1
jahan se paise kamaye jaty hain banda usi chez ki Gand mein ghusta hai,1
phir kya apki gand main Gus Jay Bhai,1
apne gand me ghuse jarahe ho. jahilo,1
Tumney zindagi main kitney paisay kama liye jo ye bakwaas kar rahey ho?,1
pagal hoye vey ho lanti admi,1
Waqar zaka jis k pas koi mashwra nhi hai wo zror bhonkay ga yahan.,1
ye apna rola dala howa ha bit coin ka,0
jhoot b dhang ka nai bola gya in se.,0
jhoot to sahi se bol lia karo chutiyon,1
jhoot bhi sahi se bol nai saktay jahil,1
jhoot k bi paon hotya hain lekin in chutiyon ka dimag nai,1
log dimag kahatay hain ye ludn kha raha ha,1
ajeeb chawal kisim k log hain,0
ye khud sab se bara chawwal ha,0
kia chwwal insan ha,0
itna to koi chawwal nai hota chutiye,1
overacting ki dukkan ha ye,0
50 ruppay kato is bharway ki overacting ka,1
50 ruppay nai kuch or kato is bharway ka,1
Chutyape karte raho aur jab phat Jaye to Aurat Card khel lo,1
ye aurat card bara harami pan ha,1
ye aurat card ki aar me bari begarti ho rahai ha,1
najaiz faida utha ya ja raha ha aurat card ka,0
lambi line ho gi ye aurat card use kar k agaay ajayengi ghaidyan,1
lanat hy aysey logon per jo jan ker aysi herkatyin kerty hain,1
In ko jail mein dalna chaiya,0
sir pery likhy harami hai ye.,1
jahil log kitny logo ko mushkil mai dal diya hai in dono nai,1
gadhay k bachay hain dono,1
pary likha huna ky bawajut b jahalat nhi gai very bad,1
Waqai insaniyat nai hai in me,0
Aisa logo ko pharay likhay jahil khety hai.,1
Jhoot bolrae hai ...yeh aurat,0
jab tho tho Horae hai to jhoot bol rae hai,0
thoo ha is aurat pe,0
Apne apko educated khty hain or kam jahilon wala kia,1
chahye jan bojh k sb ko pareshani m dalna,0
ap kah rahy hn ye well educated hain ye kaha k educated hn,1
inhy kia bhar me jaiy Awam,0
In dono ko goli e mar Deni chahye,0
itny logo ki Jan ko khatry me dala... Ghatya orat.,1
Iqdam e qatl ka muqadma chalao in kanjaron pr,1
Lanat in pay,1
Maria b or isky husband ko Punjab police ka chitr lagao,0
inko jail mein dalo,0
insay pasay b lay or inko infection lga k bnd kr do ta k ye dono mar jaen,0
itni ghatiya harkat ki MaraiB ne,1
aik to intne mehangay kapray bech ti ha or ghatiya harkat karti ha,1
itna paisa ki kabar me lay k jayegi sali,0
ye in elite class bharwon ko apne paisoon se piyar ha sirf,1
bari madarchood class ha,1
jitnay elite class k hain sub he ghatiya hain,1
majority ghatiya he hain,1
aisi ghatiya harkaten kartay hain ye paisay walay log,1
paisay walay logo ko he ziada aiyashiyan pasand hain kameeon ko,1
in paisay wlay logo ko koi ehsan nai,1
In ko ulta latkana chahiyai begharat besharam behis logon ko,1
Jaahil aadmi ne virus phelaaya usko bhej kar,1
Sahi kia ha police ne aisi harkat pe jootay na maarain to aur kia karain,0
kitna jhoot bolenge yaar ink bache suffer karenge jo inhone kia hae,0
Lanat ha in Aurton par,1
inki Education par b lanat,1
aisi Education par Lanat ha,1
aisi Education par Lanat ha jo ik Muslim BaParda Aurat ko beyHaya banney par amada kry,1
Lanat ha aisi Taleem par,1
Lanat ha aisi Aurton par,1
Is tarha kanjaro ki waja se aj kal ye halat chal rahy,1
jitnay bharway ao kanjaray shamil ti un sub ko corona virus ho,1
Yh sb kutyan hain kuty sath dy rahy hain,1
lant hu es lebrl behuda awrt pr,1
Lanat. Hy en par,1
Ghatia logon ki soch be ghatia hi hoti hai,1
Waisay in kanjaro ka pata koi karwaey,1
Lanat ho tum sab woman par,1
Lanti beshram supporters hein,1
Lanat hy ne parr,1
supporters bhi lanti,1
dono he lanti,1
saray he lanti ha begarat,1
sub to wadda tu lanti,1
begartoon doob k mar jao,1
chullu bhar pani me doob k mar jao,1
tu sub se bara zaleel ha,1
tu zeleelon ka zaleel,1
Koi kutta b na charhey is pe,1
En jesey randio Ke kartoot,1
ye sab koti dy bache kessy maze sy pi giay hian lanat tum logoon py,1
saray khoti k bachay,1
ye gaye ka pishan peena wail qoam hum se jang karay gi,0
bohat ganday hotay hain ye indians,0
nihayat he ghatiya hain bhai ye indians,1
ghatiya harkaten kartaya hain ye indians,1
bohat he choti soch hain indians ki,0
gandi harkaten kartaya hain ye indian,0
akal me bohat peechay hain ye jahil,0
gandi qoam,0
jahil qoam indians,1
kessi gandi qum hy ye,1
jahalat ki intaha a,1
Jahil log haram kha kha kr he to yeh azab nazil.hue hn,1
Jahil gnday log,1
ye sub haram kha kha k hua ha jahil log,1
bewaqufu kahan ki,0
baqi sab bekar.,0
Ganday logo tum to,0
hamari soch say bhe ziyada . ganday. ho,0
Ganday logo tum to hamari soch say bhe ziyada . ganday. ho,0
Yeh hindoo sub gandii zahin aur sycoo demaag ky malik hai,1
Yeh hindoo sub gandii zahin k hain,1
Toba kitny gandy loog hea Indians,0
lanat Ain per,1
"Chaines ki tarha jab ain ko bimari lagy gi ,,phir ain ko pata chaly ga ...",0
Toba kitny gandy loog hea lanat Ain per,1
ye hi tm logu ki oqat h,0
Ya baghart log han,1
sahi mati paleet kar di kameno ki,1
anchor ne sai matti paleet ki,1
Yai wo log h jin ki waja say Corona aya lanat h,1
Is se bri lanat kya ho ge inpe,1
Is se bri lanat kya ho ge Allah ke in kafiron pr k ye janwron ka gand khatyy hain or peety hain toba,0
Kitny gndy loog hn ya indians,1
pagal hy etnay prhay lekahy how kar b,1
eysay bewaqoofow walay kam kartay hy,0
Beshumar lanat her waqt aise batmeez logon pe,1
or aise gannday mazhab pe lanat,1
Beshumar lanat her waqt aise batmeez logon pe or aise gannday mazhab pe paishab peenay wali qom,1
Lant ha ap logo pe,1
Lanht ha in logo par.,1
Ulloo ky pathyy pagal ky bachy,1
jahilo ki nasal,1
kuttay ka pillay,1
chutiya k phattay jahil,1
Afsooss jhalatt ki hd hotiii haiii,1
jahalat ki intiha ki hui ha in logo ne,1
Wah Wah kia bat ha gnda logo ki,0
kia baat ha gandu logo,1
Jaahil log. Dharam k naam pr jhuthi baatein or jaahilat phelate h,1
In badtameez logon ko itna bhi sense nhi,0
aisa glt bten krna kitna brha paap hai or dusre log kia smjhte ge,0
Hmara dharam aisa kch nhi sikhata jahilo,1
Yeh jaahil log jo krte h or dikhate h aisa kch bhi nhi hmare religion me.,1
​agya bhadwa,1
​kya hogay gandu,1
​loru Kya kr rahy ho?,1
amir bhai nai arahe wQAr chutiya bana raha ha,1
​land mu may lala ghaday,1
​net ko lora lag gya ha,1
​chutiya sala,1
​Bc camera quality chudi hui hy ..bakwas,1
​waqar khota insan,1
chuda hua tum camera lay k ay ho,1
apni shakal jesa camera lay k ai ho,0
abay chusni k muu walay chup kar ja,0
​ye to tatti h,1
​waqar pagal,0
​bhaedwe chat tera bab pareyga akey,1
​bilal ke gand maro,1
​lun khaa khabees ky bachy,1
Barha harami hain wallah.,1
ye kiya begerti phelai hui hay,1
Report Karo is khabess waqarzaka ko,1
reprt this chutiya,1
is chutipaya ko report karo,1
oye chutiye report karna ha promote nai karna,1
ye chutiya promote kar raha ha,1
Allah tera Shukar us beghairat ka channel bnd ho gya,1
Chutiye ne naya bna liya,1
Behudaa aadmi hu zaqa,0
part time DALLAY ban gae,1
Part time nai full time dalla,1
Part time nai full time khabees,1
Bc dekh kew raha hai phir bhag yahan se,0
Waqar tu kitna Bara Harami hain aaj maine tujhy poora Jan lia,1
Waqar lanat tum kanjar pr,1
Ye harmi hera mandi ke badawar ha,1
But ap sir buht batmiz ho itni gandi zuban bolty h sar e aam,0
wese ha to bara gandu.,1
Yeh loroo ne zaida pili hain ... Jarasim nhi jaiga iss bharwa ka,1
"afsos hota ha tumari is gandi zubn ko dykh ka, lanaat",1
bilal bore hai bahnchod lund nahi tera jo to darta hai btaty hoy,1
Corona logon ki Naak me ghusta hai waqar ki gand me ghuss gya hai,1
Bosdi ke ab tm dlali bi krogy saly waqar zaka,1
Bhai yeh tu gandy hain gunah ly ry hain ap b in ky msgs repeat kr k gunah ly ry.,1
bharwa geri Shoro kr lo kotha khol lo bharway,1
tmhy like krta tha boht ub tmny bh apni auqaat dikha di,0
Oy kuttay kay bachay shirt dakh kon si dali ha,1
Lora tari bakwas suna k dil nahi krta show upload kar,1
waqar se bara hareemi koi nhi hai,1
Kitne batmiz ho ap yar,0
hairs ke loray lagye hua hain,1
Bhan k lory khod ke shadi hu nhe rahi tri bara aya dosro ke setting karwany,1
Sharam kar chootia,1
Sharam kar chootia ye kam na kar larkia bhi show dekharahi hogi tumhari,1
Chootia hai to aek nomber ka,1
ghr m beth kr bhai jan sanki or nafsiyati hogaya h,0
kia barwe log ha,1
Modi ka naam naa lo brodcast L lug jae gi ye youtibe waley unko bajiya pesh karte hein mdc,0
Wakar yar tm p t bht afsos hua mjhy aj,0
Aisy e logo ko bdnaam q kr rrhy ho,1
Tordiya gandoo land pakard loly,1
"Kya gand marwaty ho,, muje kun nikala,",1
Bilal gandu ko lo,1
Ye waqar zaka views ke chakar me fazool ka kanjarkhana kar raha ha ...,1
Teri paidaish pe thooooo,0
mujhe lagta hai ap Ghar bhethe bhethe pagal ho Gaye hai,0
Bc khuda ka khoof kr kanjar,1
Ghatia admi ghatia zuban,1
Dono bharwy ho,1
apna bap bna ly usay,0
Tum to bhut bagirat nikly,1
Khus ka bacha,1
bharwe dania ka number de,1
tune rakhwaya tha kia meray pas chutiye,1
bhag ja yahan se,0
saray jokes apkay zehan ki terha chotay hain,0
o khoti k bachy ye kia loron waly kam krny lg pra hai,1
bhnchod teri achi khasi respect thi meri nazar m kuch dollers k liy dalla bn gya h tu,1
Waqr ki path jai gi,0
Isay carona ho gya ha zindagi ki akhari khawish puri kar raha ha begarat,1
Sharm karo waqar kasy insan o,0
bc gali gloch kar raha ha,1
Haram zaday me tum ko acha samaj raha ta beghairat,1
piya howa he sala apna shakal deko mankhoos lanat ho tum par,1
Waqar bharwa haye haye,1
waqar kutti ka bacha ha. Sb mil k bolo,1
Bara gandu h tu kutty,1
meth ya coc kar k bethe ho sab ko zaleel karre ho,1
ap ko 1acha insan samaj ta tha pr ap ki ye kharab batay sun kr dil tut gaya,0
ye galat batay achi ni lagti ap pr,0
Bosdheke 10 lakh me kitne zero hote hai wo tjhe pata hai,1
aisa ghatiya sawal wo log hi kerte hain,1
10 lak hty Tumary pass tum ider backchodi na kr rhy hty,1
Jahil logo koo pata nhi hain .,1
Is bharwa ki earning hoo rhi ha,1
Wakar harmi ki oulad ha,1
o laude pehli fursat mai nikal,1
tum intehai ghaleez hoe,1
"gali, galoch dekh tar tmhari lagta hae tm gattar se nekly hwe insan hoe",0
itni ghatya zaban hae tmhari ikhlaaq nam ki cheez nae tm mein.,0
waqar zaka bagrat hai,1
Aby pagal h kiya waqar randi,1
Ketna Gatya ensan ho,1
kanjoos hai bht ziada,0
Intehai begarat insan in the world,1
Waqar To Sharab Pita Hai Re,0
waqar zaka tum khushqe hogaye ho nashay nh milrey tmhey,0
sathiya gaya ha pagal,0
sanki ho gaya ha sala,0
Waqar bhaiiii ap ya show q krty ho gunda,1
Abey waqar zaka gand sa pagal hogaya kya,1
Kitniiii manhoooos shakal hu gai ha waqar zaka ki,0
yahooodii lag raha ha sala,0
Sharam nahi arahi kaese ghatia insan ho tum waqar,1
Itni gandi galian dete ho,0
is khabess shetan ko sun raho jahilo,1
tm begrat jo baten kr rhy o,1
beshram insan ha,0
Yh Jo Larki Bakwas Kar Rahi Hai Zra Iska Channel Check Kro,1
ye fake banda he,0
bhi ye samne kuch or pith pichay kuch or he ghatiya,1
Desi Punjabi aur tu os sa bara gando,1
lodu tu bhi chakka ha,1
chutiye yeh faisla tum nahi kar sakte understand.,1
Saalo tm logo ko kutta bhi nhi janta,1
gaand dhone ka pani nhi.. or baat krte ho,1
par sala chutiya nikala bhau to,1
face to face baat karne ke himmath nahi hai usmai,0
hindustani bharwa kutta,1
"Randi ka bacha phattoo,",1
Wakar India ki kutto wali kro,1
pagaal hogayaa kee bahuu,1
Begerat Na MarD Hindustani bhau..lant,1
is hijray pe time na zaya karo,1
yeh phatoo log hain b.c samne to aa hi nahi sakte,1
Hindustani Bhauu Phattu hai 1 number ka,1
Bhenchod tu kis type ka show chalata haiii,1
Ajjeb chutiya haiiii yaar,1
LaKh di lanat Hindustani bHarwa,1
ye namard sirf gari ke andar beth k hi bhouk sakta hai,1
Tum dounoun hi gandu ho begarat,1
begarat tu bhi na mard or Hindustani bhau to Hai hi hidjra,1
Bhau bharwa ha,1
Bhau tu Buhat he bara Lund hai gando,1
YE BHARWA PHIR AA GYA BC,1
Chup re chutiye... public ka mar khata hai gandu,1
phir aaj sasta nasha kar ke agaye ?,0
gand ka elaj ho sak ta ha gando ka nhi,1
bhi ya bigg boos ma aya ha choteya ha,1
dam nai ha larna ka chutia ha sala,1
Lakh de lanat barwy ky shakal py,1
hindu ki aukaat he nahi he.pakistan se koi bhi muqabla krny ki,0
is Indian kutte ko sabak sikhana hi hoga,1
is kutte ko dikhao uski aukat kya hai,1
yeh kuch kr nhi sakta khali mun ki Bakchodiya krta hey yeh.,1
tum bas muu k fire he kartay rehna,0
ye kuch nai kar sakta only muu k fire,0
kuch karay ga bhi zindagi me ya nai chutiye,1
